Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,7.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,1.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,1.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,3.0,0.0,0.0
10 days,4.0,0.0,0.0
11 days,5.0,0.0,0.0
12 days,3.0,0.0,0.0
13 days,2.0,0.0,0.0
14 days,3.0,0.0,0.0
15 days,11.0,0.0,0.0
16 days,18.0,0.0,0.0
17 days,13.0,0.0,0.0
18 days,7.0,1.0,0.0
19 days,16.0,3.0,0.0
20 days,10.0,2.0,0.0
21 days,8.0,1.0,1.0
22 days,8.0,1.0,0.0
23 days,9.0,1.0,0.0
24 days,7.0,1.0,0.0
25 days,18.0,0.0,1.0
26 days,26.0,1.0,0.0
27 days,11.0,3.0,0.0
28 days,16.0,1.0,0.0
29 days,54.0,3.0,0.0
30 days,4.0,1.0,0.0
31 days,7.0,1.0,0.0
32 days,25.0,4.0,0.0
33 days,30.0,3.0,0.0
34 days,24.0,1.0,4.0
35 days,43.0,0.0,1.0
36 days,44.0,1.0,7.0
37 days,24.0,2.0,12.0
38 days,28.0,0.0,5.0
39 days,27.0,1.0,0.0
40 days,44.0,1.0,0.0
41 days,34.0,1.0,6.0
42 days,11.0,3.0,7.0
