Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,1.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,0.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,2.0,0.0,0.0
11 days,6.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,3.0,0.0,0.0
14 days,7.0,0.0,0.0
15 days,7.0,0.0,0.0
16 days,13.0,0.0,0.0
17 days,16.0,0.0,0.0
18 days,10.0,0.0,0.0
19 days,9.0,1.0,2.0
20 days,0.0,0.0,0.0
21 days,16.0,1.0,0.0
22 days,0.0,0.0,0.0
23 days,48.0,4.0,3.0
24 days,0.0,0.0,0.0
25 days,54.0,0.0,0.0
26 days,40.0,0.0,5.0
27 days,73.0,1.0,0.0
28 days,203.0,1.0,7.0
29 days,46.0,1.0,0.0
30 days,95.0,0.0,0.0
31 days,8.0,0.0,0.0
32 days,0.0,0.0,26.0
33 days,72.0,1.0,17.0
34 days,0.0,0.0,0.0
35 days,90.0,2.0,38.0
36 days,0.0,0.0,0.0
37 days,0.0,0.0,0.0
38 days,0.0,0.0,0.0
39 days,28.0,2.0,32.0
40 days,0.0,3.0,34.0
41 days,148.0,5.0,0.0
42 days,0.0,0.0,0.0
43 days,21.0,0.0,13.0
44 days,0.0,20.0,128.0
45 days,146.0,0.0,0.0
46 days,0.0,1.0,24.0
47 days,0.0,0.0,68.0
