Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,4.0,0.0,1.0
7 days,1.0,0.0,0.0
8 days,3.0,0.0,0.0
9 days,0.0,0.0,0.0
10 days,5.0,0.0,0.0
11 days,0.0,0.0,0.0
12 days,11.0,0.0,0.0
13 days,48.0,0.0,1.0
14 days,7.0,0.0,1.0
15 days,16.0,0.0,0.0
16 days,5.0,0.0,0.0
17 days,0.0,0.0,0.0
18 days,64.0,1.0,1.0
19 days,3.0,0.0,2.0
20 days,11.0,0.0,1.0
21 days,11.0,0.0,2.0
22 days,4.0,0.0,6.0
23 days,24.0,0.0,4.0
24 days,27.0,0.0,6.0
25 days,16.0,2.0,12.0
26 days,62.0,0.0,4.0
27 days,26.0,0.0,0.0
28 days,35.0,0.0,7.0
29 days,60.0,0.0,4.0
30 days,0.0,0.0,0.0
31 days,89.0,1.0,6.0
32 days,41.0,1.0,27.0
33 days,52.0,1.0,4.0
34 days,12.0,0.0,25.0
35 days,0.0,0.0,0.0
36 days,16.0,0.0,32.0
37 days,34.0,0.0,47.0
38 days,113.0,2.0,46.0
39 days,46.0,1.0,21.0
40 days,0.0,0.0,0.0
41 days,69.0,4.0,43.0
42 days,36.0,1.0,7.0
