Dates,Infected,Dead,Recovered
2 days,1,0,0
3 days,1,0,0
4 days,1,0,0
5 days,1,0,0
6 days,1,0,0
7 days,1,0,0
8 days,1,0,0
9 days,1,0,0
10 days,1,0,0
11 days,1,0,0
12 days,1,0,0
13 days,0,0,0
14 days,1,0,0
15 days,2,0,0
16 days,2,0,0
17 days,6,0,0
18 days,6,0,0
19 days,10,0,0
20 days,8,0,0
21 days,9,0,1
22 days,11,0,1
23 days,16,0,1
24 days,21,0,0
25 days,42,0,0
26 days,50,0,0
27 days,62,0,0
28 days,59,0,0
29 days,63,0,6
30 days,60,1,6
31 days,68,1,11
32 days,72,1,8
33 days,73,1,10
34 days,68,1,10
35 days,70,0,7
36 days,83,0,7
37 days,74,0,7
38 days,71,1,8
39 days,54,2,15
40 days,57,3,12
41 days,48,3,13
42 days,52,2,16
43 days,54,1,18
44 days,62,1,30
45 days,71,1,21
46 days,64,1,48
47 days,64,1,51
48 days,52,1,56
49 days,57,3,31
50 days,47,3,33
51 days,47,3,43
52 days,37,2,62
53 days,30,2,47
54 days,27,4,60
55 days,22,4,57
56 days,25,3,62
57 days,26,0,53
