Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,1.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,0.0,0.0,0.0
6 days,0.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,1.0,1.0,0.0
9 days,2.0,0.0,0.0
10 days,1.0,0.0,0.0
11 days,1.0,0.0,1.0
12 days,10.0,0.0,0.0
13 days,11.0,0.0,0.0
14 days,1.0,0.0,0.0
15 days,9.0,1.0,0.0
16 days,11.0,0.0,0.0
17 days,14.0,0.0,0.0
18 days,14.0,1.0,0.0
19 days,19.0,0.0,2.0
20 days,19.0,1.0,0.0
21 days,28.0,0.0,0.0
22 days,27.0,1.0,3.0
23 days,55.0,1.0,1.0
24 days,50.0,5.0,1.0
25 days,70.0,12.0,3.0
26 days,57.0,2.0,0.0
27 days,77.0,1.0,2.0
28 days,77.0,7.0,2.0
29 days,61.0,3.0,9.0
30 days,37.0,3.0,5.0
31 days,54.0,5.0,2.0
32 days,83.0,4.0,26.0
33 days,128.0,11.0,9.0
34 days,102.0,11.0,10.0
35 days,99.0,10.0,5.0
36 days,64.0,10.0,12.0
37 days,91.0,3.0,4.0
38 days,99.0,4.0,12.0
39 days,74.0,10.0,13.0
40 days,97.0,4.0,24.0
41 days,116.0,7.0,31.0
42 days,102.0,8.0,26.0
43 days,125.0,0.0,14.0
44 days,136.0,1.0,12.0
45 days,259.0,3.0,20.0
46 days,281.0,5.0,32.0
47 days,121.0,2.0,33.0
48 days,170.0,4.0,13.0
49 days,191.0,2.0,23.0
50 days,163.0,2.0,43.0
51 days,237.0,4.0,24.0
