Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,4.0,0.0,0.0
3 days,0.0,0.0,0.0
4 days,6.0,0.0,0.0
5 days,5.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,9.0,0.0,0.0
8 days,18.0,1.0,0.0
9 days,19.0,1.0,0.0
10 days,35.0,1.0,0.0
11 days,16.0,0.0,0.0
12 days,58.0,1.0,1.0
13 days,61.0,1.0,0.0
14 days,13.0,0.0,0.0
15 days,104.0,0.0,0.0
16 days,70.0,0.0,0.0
17 days,111.0,0.0,0.0
18 days,98.0,2.0,0.0
19 days,115.0,1.0,0.0
20 days,152.0,2.0,0.0
21 days,150.0,4.0,6.0
22 days,170.0,2.0,0.0
23 days,168.0,0.0,0.0
24 days,249.0,2.0,0.0
25 days,224.0,4.0,0.0
26 days,193.0,9.0,0.0
27 days,256.0,2.0,0.0
28 days,243.0,10.0,40.0
29 days,392.0,14.0,9.0
30 days,437.0,14.0,0.0
31 days,244.0,8.0,60.0
32 days,475.0,15.0,18.0
33 days,311.0,13.0,28.0
34 days,435.0,22.0,29.0
35 days,357.0,30.0,31.0
36 days,370.0,15.0,62.0
37 days,380.0,7.0,34.0
38 days,401.0,27.0,57.0
39 days,318.0,24.0,64.0
40 days,260.0,13.0,48.0
41 days,268.0,18.0,131.0
42 days,380.0,23.0,50.0
43 days,336.0,28.0,106.0
44 days,461.0,18.0,92.0
45 days,363.0,15.0,115.0
46 days,545.0,13.0,59.0
47 days,306.0,20.0,93.0
48 days,263.0,21.0,164.0
49 days,313.0,25.0,216.0
