Dates,Infected,Dead,Recovered
0 days,2.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,3.0,0.0,0.0
3 days,3.0,0.0,0.0
4 days,5.0,0.0,0.0
5 days,7.0,0.0,0.0
6 days,10.0,0.0,0.0
7 days,0.0,0.0,0.0
8 days,11.0,0.0,0.0
9 days,18.0,0.0,0.0
10 days,0.0,0.0,0.0
11 days,53.0,0.0,1.0
12 days,57.0,0.0,1.0
13 days,76.0,0.0,0.0
14 days,86.0,0.0,1.0
15 days,117.0,1.0,0.0
16 days,0.0,1.0,0.0
17 days,337.0,1.0,0.0
18 days,235.0,3.0,2.0
19 days,260.0,6.0,0.0
20 days,320.0,2.0,0.0
21 days,460.0,9.0,0.0
22 days,302.0,10.0,17.0
23 days,633.0,10.0,0.0
24 days,549.0,17.0,21.0
25 days,724.0,16.0,0.0
26 days,902.0,24.0,0.0
27 days,792.0,19.0,0.0
28 days,446.0,21.0,0.0
29 days,1035.0,20.0,0.0
30 days,808.0,27.0,0.0
31 days,783.0,22.0,25.0
32 days,852.0,37.0,0.0
33 days,638.0,20.0,7.0
34 days,754.0,29.0,0.0
35 days,452.0,16.0,65.0
36 days,712.0,34.0,44.0
37 days,699.0,35.0,12.0
38 days,815.0,29.0,9.0
39 days,1516.0,26.0,28.0
40 days,515.0,35.0,33.0
41 days,598.0,34.0,11.0
42 days,349.0,31.0,0.0
43 days,514.0,32.0,70.0
44 days,643.0,32.0,36.0
45 days,750.0,30.0,110.0
46 days,181.0,28.0,26.0
47 days,663.0,30.0,91.0
48 days,521.0,27.0,0.0
49 days,657.0,21.0,0.0
50 days,516.0,27.0,307.0
51 days,603.0,23.0,226.0
