Dates,Infected,Dead,Recovered
0 days,1.0,0.0,0.0
1 days,0.0,0.0,0.0
2 days,0.0,0.0,0.0
3 days,2.0,0.0,0.0
4 days,0.0,0.0,0.0
5 days,4.0,0.0,0.0
6 days,6.0,0.0,0.0
7 days,4.0,0.0,0.0
8 days,7.0,0.0,0.0
9 days,14.0,0.0,0.0
10 days,13.0,0.0,0.0
11 days,11.0,0.0,0.0
12 days,0.0,0.0,0.0
13 days,54.0,0.0,0.0
14 days,34.0,0.0,0.0
15 days,52.0,0.0,0.0
16 days,38.0,0.0,0.0
17 days,34.0,0.0,0.0
18 days,128.0,0.0,0.0
19 days,152.0,0.0,4.0
20 days,155.0,0.0,8.0
21 days,218.0,0.0,0.0
22 days,243.0,1.0,19.0
23 days,17.0,0.0,0.0
24 days,93.0,1.0,0.0
25 days,46.0,1.0,0.0
26 days,27.0,2.0,0.0
27 days,27.0,0.0,19.0
28 days,82.0,0.0,0.0
29 days,43.0,4.0,45.0
30 days,80.0,0.0,0.0
31 days,70.0,2.0,0.0
32 days,31.0,1.0,0.0
33 days,63.0,1.0,0.0
34 days,96.0,5.0,0.0
35 days,89.0,0.0,0.0
36 days,69.0,6.0,315.0
37 days,25.0,1.0,0.0
38 days,145.0,0.0,0.0
39 days,99.0,2.0,0.0
40 days,143.0,0.0,0.0
41 days,91.0,7.0,0.0
42 days,99.0,14.0,493.0
43 days,178.0,2.0,0.0
44 days,251.0,2.0,0.0
45 days,124.0,2.0,0.0
46 days,142.0,4.0,152.0
47 days,165.0,0.0,0.0
48 days,170.0,7.0,0.0
